,meta,position,year_span,start_year,end_year,full_slug,iter
0,Fay Abbott (BB-FB-TB-QB-WB-E) 1921-1929,BB-FB-TB-QB-WB-E,1921-1929,1921,1929,https://www.pro-football-reference.com/players/A/AbboFa20.htm,A
1,Tony Adams (QB) 1975-1987,QB,1975-1987,1975,1987,https://www.pro-football-reference.com/players/A/AdamTo00.htm,A
2,Sam Adkins (QB) 1977-1981,QB,1977-1981,1977,1981,https://www.pro-football-reference.com/players/A/AdkiSa00.htm,A
3,Troy Aikman+ (QB) 1989-2000,QB,1989-2000,1989,2000,https://www.pro-football-reference.com/players/A/AikmTr00.htm,A
4,Frankie Albert (QB-DB) 1946-1952,QB-DB,1946-1952,1946,1952,https://www.pro-football-reference.com/players/A/AlbeFr00.htm,A
5,Don Allard (QB) 1961-1962,QB,1961-1962,1961,1962,https://www.pro-football-reference.com/players/A/AllaDo20.htm,A
6,Brandon Allen (QB) 2019-2022,QB,2019-2022,2019,2022,https://www.pro-football-reference.com/players/A/AlleBr00.htm,A
7,Ermal Allen (QB-DB) 1947-1947,QB-DB,1947-1947,1947,1947,https://www.pro-football-reference.com/players/A/AlleEr20.htm,A
8,Josh Allen (QB) 2018-2023,QB,2018-2023,2018,2023,https://www.pro-football-reference.com/players/A/AlleJo02.htm,A
9,Kyle Allen (QB) 2018-2023,QB,2018-2023,2018,2023,https://www.pro-football-reference.com/players/A/AlleKy00.htm,A
10,Billy Guy Anderson (QB) 1967-1967,QB,1967-1967,1967,1967,https://www.pro-football-reference.com/players/A/AndeBi21.htm,A
11,Derek Anderson (QB) 2006-2018,QB,2006-2018,2006,2018,https://www.pro-football-reference.com/players/A/AndeDe00.htm,A
12,Ken Anderson (QB) 1971-1986,QB,1971-1986,1971,1986,https://www.pro-football-reference.com/players/A/AndeKe00.htm,A
13,David Archer (QB) 1984-1989,QB,1984-1989,1984,1989,https://www.pro-football-reference.com/players/A/ArchDa00.htm,A
14,Rick Arrington (QB) 1970-1972,QB,1970-1972,1970,1972,https://www.pro-football-reference.com/players/A/ArriRi00.htm,A
15,Kent Austin (QB) 1986-1986,QB,1986-1986,1986,1986,https://www.pro-football-reference.com/players/A/AustKe20.htm,A
16,Bob Avellini (QB) 1975-1984,QB,1975-1984,1975,1984,https://www.pro-football-reference.com/players/A/AvelBo00.htm,A
17,Richard Badar (QB) 1967-1967,QB,1967-1967,1967,1967,https://www.pro-football-reference.com/players/B/BadaRi20.htm,B
18,Ed Baker (QB) 1972-1972,QB,1972-1972,1972,1972,https://www.pro-football-reference.com/players/B/BakeEd00.htm,B
19,Terry Baker (QB) 1963-1965,QB,1963-1965,1963,1965,https://www.pro-football-reference.com/players/B/BakeTe00.htm,B
20,Tony Banks (QB) 1996-2005,QB,1996-2005,1996,2005,https://www.pro-football-reference.com/players/B/BankTo00.htm,B
21,Matt Barkley (QB) 2013-2020,QB,2013-2020,2013,2020,https://www.pro-football-reference.com/players/B/BarkMa00.htm,B
22,Lou Barle (HB-QB) 1938-1939,HB-QB,1938-1939,1938,1939,https://www.pro-football-reference.com/players/B/BarlLo20.htm,B
23,Joe Barnes (QB) 1974-1974,QB,1974-1974,1974,1974,https://www.pro-football-reference.com/players/B/BarnJo01.htm,B
24,Pat Barnes (QB) 1999-1999,QB,1999-1999,1999,1999,https://www.pro-football-reference.com/players/B/BarnPa20.htm,B
25,Dave Barr (QB) 1995-1995,QB,1995-1995,1995,1995,https://www.pro-football-reference.com/players/B/BarrDa20.htm,B
26,Richard Bartel (QB) 2010-2011,QB,2010-2011,2010,2011,https://www.pro-football-reference.com/players/B/BartRi00.htm,B
27,Steve Bartkowski (QB) 1975-1986,QB,1975-1986,1975,1986,https://www.pro-football-reference.com/players/B/BartSt00.htm,B
28,Greg Barton (QB) 1969-1969,QB,1969-1969,1969,1969,https://www.pro-football-reference.com/players/B/BartGr20.htm,B
29,Brett Basanez (QB) 2006-2006,QB,2006-2006,2006,2006,https://www.pro-football-reference.com/players/B/BasaBr00.htm,B
30,Charlie Batch (QB) 1998-2012,QB,1998-2012,1998,2012,https://www.pro-football-reference.com/players/B/BatcCh00.htm,B
31,Sammy Baugh+ (QB-TB) 1937-1952,QB-TB,1937-1952,1937,1952,https://www.pro-football-reference.com/players/B/BaugSa00.htm,B
32,C.J. Beathard (QB) 2017-2023,QB,2017-2023,2017,2023,https://www.pro-football-reference.com/players/B/BeatC.00.htm,B
33,Pete Beathard (QB) 1964-1973,QB,1964-1973,1964,1973,https://www.pro-football-reference.com/players/B/BeatPe00.htm,B
34,Gary Beban (QB) 1968-1969,QB,1968-1969,1968,1969,https://www.pro-football-reference.com/players/B/BebaGa00.htm,B
35,John Beck (QB) 2007-2011,QB,2007-2011,2007,2011,https://www.pro-football-reference.com/players/B/BeckJo00.htm,B
36,Kerwin Bell (QB) 1996-1996,QB,1996-1996,1996,1996,https://www.pro-football-reference.com/players/B/BellKe00.htm,B
37,Guy Benjamin (QB) 1978-1983,QB,1978-1983,1978,1983,https://www.pro-football-reference.com/players/B/BenjGu00.htm,B
38,Kurt Benkert (QB) 2021-2021,QB,2021-2021,2021,2021,https://www.pro-football-reference.com/players/B/BenkKu01.htm,B
39,Fred Benners (QB) 1952-1952,QB,1952-1952,1952,1952,https://www.pro-football-reference.com/players/B/BennFr00.htm,B
40,Ben Bennett (QB) 1987-1987,QB,1987-1987,1987,1987,https://www.pro-football-reference.com/players/B/BennBe20.htm,B
41,Brock Berlin (QB) 2007-2008,QB,2007-2008,2007,2008,https://www.pro-football-reference.com/players/B/BerlBr00.htm,B
42,Bob Berry (QB) 1965-1975,QB,1965-1975,1965,1975,https://www.pro-football-reference.com/players/B/BerrBo00.htm,B
43,Angelo Bertelli (QB) 1946-1948,QB,1946-1948,1946,1948,https://www.pro-football-reference.com/players/B/BertAn20.htm,B
44,Steve Beuerlein (QB) 1988-2003,QB,1988-2003,1988,2003,https://www.pro-football-reference.com/players/B/BeueSt00.htm,B
45,Michael Bishop (QB) 2000-2000,QB,2000-2000,2000,2000,https://www.pro-football-reference.com/players/B/BishMi00.htm,B
46,Todd Blackledge (QB) 1983-1989,QB,1983-1989,1983,1989,https://www.pro-football-reference.com/players/B/BlacTo00.htm,B
47,Jeff Blake (QB) 1992-2005,QB,1992-2005,1992,2005,https://www.pro-football-reference.com/players/B/BlakJe00.htm,B
48,George Blanda+ (QB) 1949-1975,QB,1949-1975,1949,1975,https://www.pro-football-reference.com/players/B/BlanGe00.htm,B
49,Drew Bledsoe (QB) 1993-2006,QB,1993-2006,1993,2006,https://www.pro-football-reference.com/players/B/BledDr00.htm,B
50,Bob Bleier (QB) 1987-1987,QB,1987-1987,1987,1987,https://www.pro-football-reference.com/players/B/BleiBo20.htm,B
51,David Blough (QB) 2019-2022,QB,2019-2022,2019,2022,https://www.pro-football-reference.com/players/B/BlouDa00.htm,B
52,Ed Blount (QB) 1987-1987,QB,1987-1987,1987,1987,https://www.pro-football-reference.com/players/B/BlouEd20.htm,B
53,Jeb Blount (QB) 1977-1977,QB,1977-1977,1977,1977,https://www.pro-football-reference.com/players/B/BlouJe00.htm,B
54,Matt Blundin (QB) 1993-1997,QB,1993-1997,1993,1997,https://www.pro-football-reference.com/players/B/BlunMa00.htm,B
55,Kyle Boller (QB) 2003-2011,QB,2003-2011,2003,2011,https://www.pro-football-reference.com/players/B/BollKy00.htm,B
56,Brooks Bollinger (QB) 2004-2008,QB,2004-2008,2004,2008,https://www.pro-football-reference.com/players/B/BollBr00.htm,B
57,Steve Bono (QB) 1985-1999,QB,1985-1999,1985,1999,https://www.pro-football-reference.com/players/B/BonoSt00.htm,B
58,Ian Book (QB) 2021-2021,QB,2021-2021,2021,2021,https://www.pro-football-reference.com/players/B/BookIa00.htm,B
59,Blake Bortles (QB) 2014-2019,QB,2014-2019,2014,2019,https://www.pro-football-reference.com/players/B/BortBl00.htm,B
60,John Borton (QB) 1957-1957,QB,1957-1957,1957,1957,https://www.pro-football-reference.com/players/B/BortJo20.htm,B
61,Mike Boryla (QB) 1974-1978,QB,1974-1978,1974,1978,https://www.pro-football-reference.com/players/B/BoryMi00.htm,B
