meta,position,is_qb,year_span,start_year,end_year,slug,full_slug,iter
Isaako Aaitui (NT) 2013-2013,NT,0,2013-2013,2013,2013,/players/A/AaitIs00.htm,https://www.pro-football-reference.com/players/A/AaitIs00.htm,a
Joe Abbey (E) 1948-1949,E,0,1948-1949,1948,1949,/players/A/AbbeJo20.htm,https://www.pro-football-reference.com/players/A/AbbeJo20.htm,a
Fay Abbott (BB-FB-TB-QB-WB-E) 1921-1929,BB-FB-TB-QB-WB-E,1,1921-1929,1921,1929,/players/A/AbboFa20.htm,https://www.pro-football-reference.com/players/A/AbboFa20.htm,a
Vince Abbott (K) 1987-1988,K,0,1987-1988,1987,1988,/players/A/abbotvin01.htm,https://www.pro-football-reference.com/players/A/abbotvin01.htm,a
Jared Abbrederis (WR) 2015-2017,WR,0,2015-2017,2015,2017,/players/A/AbbrJa00.htm,https://www.pro-football-reference.com/players/A/AbbrJa00.htm,a
Duke Abbruzzi (HB-DB) 1946-1946,HB-DB,0,1946-1946,1946,1946,/players/A/AbbrDu20.htm,https://www.pro-football-reference.com/players/A/AbbrDu20.htm,a
Mehdi Abdesmad (DE) 2016-2016,DE,0,2016-2016,2016,2016,/players/A/AbdeMe00.htm,https://www.pro-football-reference.com/players/A/AbdeMe00.htm,a
Karim Abdul-Jabbar (RB) 1996-2000,RB,0,1996-2000,1996,2000,/players/A/AbduKa00.htm,https://www.pro-football-reference.com/players/A/AbduKa00.htm,a
Isa Abdul-Quddus (S) 2011-2016,S,0,2011-2016,2011,2016,/players/A/AbduIs00.htm,https://www.pro-football-reference.com/players/A/AbduIs00.htm,a
Ameer Abdullah (RB) 2015-2023,RB,0,2015-2023,2015,2023,/players/A/AbduAm00.htm,https://www.pro-football-reference.com/players/A/AbduAm00.htm,a
Hamza Abdullah (DB) 2005-2011,DB,0,2005-2011,2005,2011,/players/A/AbduHa20.htm,https://www.pro-football-reference.com/players/A/AbduHa20.htm,a
